class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/SyncErrorDialog.java/SyncErrorDialog/SyncErrorDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/actualizeCurrTagDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/actualizeCurrTagDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/actualizeCurrTagDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/addDialogContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/addDialogContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/addDialogContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/addDialogContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/addDialogContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/createBuilder/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/createBuilder/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/createBuilder/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/filterByTagContent/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/TagsDialog.java/TagsDialog/TagsDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Download.java;2;4;1;;;;
/AnkiDroid/src/com/ichi2/anki/Download.java/Download;4;4;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Download.java/Download/CREATOR/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/exception;4;4;2;;;;
/AnkiDroid/src/com/ichi2/anki/exception/AnkiDroidErrorReportException.java;4;4;1;;;;
/AnkiDroid/src/com/ichi2/anki/exception/APIVersionException.java;4;4;1;;;;
/AnkiDroid/src/com/ichi2/anki/exception/UnsupportedSyncException.java;4;4;1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java;2;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java/Feedback;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java/Feedback/initAllAlertDialogs/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java/Feedback/mSendListener/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java/Feedback/onCreate/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/Feedback.java/Feedback/onCreate/;2;2;-1;;;;
